variable,beta_hat,p_value,ci95_low,ci95_high
R2,0.885314,,,
R2_adj,0.884737,,,
F_stat,1533.602980,0.000000,,
AIC,3370.731452,,,
BIC,3388.319170,,,
N,600.000000,,,
RMSE,3.988191,,,
MAE,3.176814,,,
